Date,Motion,Military Aid (Israel),Humanitarian Aid (Gaza/Lebanon),Symbolic Resolutions,Campus Protest,"Relations, normalization, and ceasfire",Tommy Tuberville (R-AL),Katie Britt (R-AL),Lisa Murkowski (R-AK),Dan Sullivan (R-AK),"Kyrsten Sinema (I-AZ, formerly D-AZ)",Mark Kelly (D-AZ),John Boozman (R-AR),Tom Cotton (R-AR),Alex Padilla (D-CA),Laphonza Butler (D-CA),Michael Bennett (D-CO),John Hickenlooper (D-CO),Richard Blumenthal (D-CT),Chris Murphy (D-CT),Tom Carper (D-DE),Chris Coons (D-DE),Marco Rubio (R-FL),Rick Scott (R-FL),Jon Ossoff (D-GA),Raphael Warnock (D-GA),Brian Schatz (D-HI),Mazie Hirono (D-HI),Mike Crapo (R-ID),Jim Risch (R-ID),Dick Durbin (D-IL),Tammy Duckworth (D-IL),Todd Young (R-IN),Mike Braun (R-IN),Chuck Grassley (R-IA),Joni Ernst (R-IA),Jerry Moran (R-KS),Roger Marshall (R-KS),Mitch McConnell (R-KY),Rand Paul (R-KY),Bill Cassidy (R-LA),John Kennedy (R-LA),Susan Collins (R-ME),Angus King (I-ME (D-ME)),Ben Cardin (D-MD),Chris Van Hollen (D-MD),Elizabeth Warren (D-MA),Ed Markey (D-MA),Debbie Stabenow (D-MI),Gary Peters (D-MI),Amy Klobuchar (D-MN),Tina Smith (D-MN),Roger Wicker (R-MS),Cindy Hyde-Smith (R-MS),Josh Hawley (R-MO),Eric Schmitt (R-MO),Jon Tester (D-MT),Steve Daines (R-MT),Deb Fischer (R-NE),Pete Ricketts (R-NE),Catherine Cortez Masto (D-NV),Jacky Rosen (D-NV),Jeanne Shaeen (D-NH),Maggie Hassan (D-NH),Bob Menendez (D-NJ),Cory Booker (D-NJ),Martin Heinrich (D-NM),Ben Ray Luján (D-NM),Chuck Schumer (D-NY),Kirsten Gillibrand (D-NY),Thom Tillis (R-NC),Ted Budd (R-NC),John Hoeven (R-ND),Kevin Cramer (R-ND),Sherrod Brown (D-OH),JD Vance* (R-OH),James Lankford (R-OK),Markwayne Mullin (R-OK),Ron Wyden (D-OR),Jeff Merkley (D-OR),Bob Casey Jr. (D-PA),John Fetterman (D-PA),Jack Reed (D-RI),Sheldon Whitehouse (D-RI),Lindsey Graham (R-SC),Tim Scott (R-SC),John Thune (R-SD),Mike Rounds (R-SD),Marsha Blackburn (R-TN),Bill Hagerty (R-TN),John Cornyn (R-TX),Ted Cruz (R-TX),Mike Lee (R-UT),Mitt Romney (R-UT),Bernie Sanders (I-VT (D-VT)),Peter Welch (D-VT),Mark Warner (D-VA),Tim Kaine (D-VA),Patty Murray (D-WA),Maria Cantwell (D-WA),Joe Manchin (D-WV),Shelley Capito (R-WV),Ron Johnson (R-WI),Tammy Baldwin (D-WI),John Barasso (R-WY),Cynthia Lummis (R-WY),George Helmy (D-NJ),
10/18/2023,S 3078 conditions student loan and grant funding for college campuses that authorize events found to be antisemitic,0,0,0,0.2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,S3081 uses all seized Iranian funds to provide military support to the government of Israel,1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,SRES413 condems specifically foreign nationals in the United States who have  endorsed Hamas,0,0,0.4,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,.1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,
,"SRES417 condemns Hamas for October 7 and expresses the sense of the Senate that Israel has a right to defend itself, as well as the sense of the senate that Israel should be provided with expedited access to military transfers ",0.1,0,0.4,0,0.1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,
,"S3166 terminates all federal foreign aid to Gaza, including through the UNRWA, ends diplomatic ties with Gaza, and imposes sanctions on both Iran and Hamas until such time as ",0,1,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,S3168 appropriates around $15B of emergency military funding for defense transfers to Israel,1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,
,S3135 another bill appropriating ~$15B for defense transfers to Israel,1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,
,S3183 would bar immigration from any individual who endorsed actions taken by the PLO (or Hamas or Hezbollah),0,0,0.4,0,0.6,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,
,S3197 would establish a fund to make sanctions against Iran or any of its proxies more effectivw,0,0,0,0,0.5,0,0,0,1.5,1.5,1.5,0,1.5,0,0,0,0,1.5,0,0,0,1.5,1.5,0,0,0,0,1.5,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.5,0,1.5,0,1.5,0,0,1.5,1.5,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,1.5,1.5,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,
,S3210 another bill which increases appropriations for defense transfers to Israel by $15B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,
,SRES445 resolution expressing that free trade between US and Israel can and will be used as a method of fighting a conflict against Hamas,0,0,0.2,0,0,0,1.5,0,1.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1.5,0,1.5,0,0,1.5,0,0,0,1.5,1.5,0,0,0,0,0,0,1.5,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,1.5,1.5,0,0,1.5,0,0,0,0,0,1.5,1.5,0,0,0,0,1.5,0,1.5,0,0,0,0,0,0,1.5,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,1.5,0,
,"HR6126 voted on in the Senate would appropriate ~$15B in supplemental military aid for Israel. Motion is to table, so votes are inverse (nay = 1 because nay vote supports bill passage)",1,0,0,0,0,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,0,
,"SRES462 would express the Senate's belief that Israel has a right to a 'self-defense' and that the US should keep all options, including unlimited military force, on the table",0,0,0.5,0,0.3,0,1.5,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,
,"HR2670 is NDAA2023. Included in its provisions is an increase of ~$150M immediately in aid to Israel, an extension of all existing aid, and and an affirmative promise to meet Israel's arms needs following a DoD assessment.",0.6,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,
